dataset,null_abs_r
Reid CV1,0.07017327231380195
Reid CV1,0.14428741165983092
Reid CV1,0.14762444054628565
Reid CV1,0.19817798911373896
Reid CV1,0.09676343629536217
Reid CV1,0.27388549142271296
Reid CV1,0.05362439786636202
Reid CV1,0.024282088135991538
Reid CV1,0.015548365848737233
Reid CV1,0.144728774774553
Reid CV1,0.06327729445417368
Reid CV1,0.07771385417109451
Reid CV1,0.025150362700993658
Reid CV1,0.03433013422729948
Reid CV1,0.24948701185403493
Reid CV1,0.18730854934978272
Reid CV1,0.05793260277934483
Reid CV1,0.019831792595930937
Reid CV1,0.07343520360591067
Reid CV1,0.15590398369960068
Reid CV1,0.17402916960051376
Reid CV1,0.06981141595679322
Reid CV1,0.06881616115247113
Reid CV1,0.06589658828896289
Reid CV1,0.04620167423685893
Reid CV1,0.06583595799554448
Reid CV1,0.0015978403271139912
Reid CV1,0.19021755467957066
Reid CV1,0.10392559524780375
Reid CV1,0.044528095633375855
Reid CV1,0.00813017567958113
Reid CV1,0.18354711207519836
Reid CV1,0.03139893496548602
Reid CV1,0.0022219533309680334
Reid CV1,0.15369040501223205
Reid CV1,0.008915376821849227
Reid CV1,0.1039843040478404
Reid CV1,0.08000574983849514
Reid CV1,0.13177262402144752
Reid CV1,0.09990658410910258
Reid CV1,0.09138863503295849
Reid CV1,0.1239479884303942
Reid CV1,0.06822442103651528
Reid CV1,0.11652482320024898
Reid CV1,0.027440192815521118
Reid CV1,0.010324458446263745
Reid CV1,0.19548944520386677
Reid CV1,0.08017183898660896
Reid CV1,0.006822224639205525
Reid CV1,0.02143526420114795
Reid CV1,0.019053149481145996
Reid CV1,0.03437185667613718
Reid CV1,0.003610016838379592
Reid CV1,0.06116560504331955
Reid CV1,0.045922274083194735
Reid CV1,0.15378292529589288
Reid CV1,0.05478837615646883
Reid CV1,0.09338670850098107
Reid CV1,0.15702002817451297
Reid CV1,0.12290905612580796
Reid CV1,0.03569218344285094
Reid CV1,0.022350228345355466
Reid CV1,0.10823536208327711
Reid CV1,0.13324260401712967
Reid CV1,0.1537403860419612
Reid CV1,0.06206475352118109
Reid CV1,0.06102919306937692
Reid CV1,0.11087966380291069
Reid CV1,0.16243558112830464
Reid CV1,0.1649110871950493
Reid CV1,0.02457209377751902
Reid CV1,0.09830951968879181
Reid CV1,0.11955048391852803
Reid CV1,0.1046747284483998
Reid CV1,0.04118511868223872
Reid CV1,0.18113698430265196
Reid CV1,0.23074167324916153
Reid CV1,0.0014742366382482714
Reid CV1,0.12238920322361203
Reid CV1,0.057311648314235485
Reid CV1,0.22664851360260055
Reid CV1,0.025894065068443058
Reid CV1,0.04709379179440257
Reid CV1,0.1462675967243823
Reid CV1,0.145014750955467
Reid CV1,0.09339863832788231
Reid CV1,0.11055529032596036
Reid CV1,0.02570458667041391
Reid CV1,0.014540387339419425
Reid CV1,0.0038669457131017444
Reid CV1,0.1651938995503876
Reid CV1,0.1397509178999715
