dataset,latent_dim,hidden_size,epoch,train_mse_norm,val_mse_norm,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=5,1,128,29,0.4008387923240661,12693.920142890933,1,1,5
CV1 | nets=1 | frames=5,1,128,30,0.3891864418983459,10628.110242071152,1,1,5
CV1 | nets=1 | frames=10,1,128,1,0.6421391386538744,398.2675345898867,1,1,10
CV1 | nets=1 | frames=10,1,128,2,1.2742491662502289,397.68613090467454,1,1,10
CV1 | nets=1 | frames=10,1,128,3,0.9041224122047424,396.384791437149,1,1,10
CV1 | nets=1 | frames=10,1,128,4,0.6758959889411926,392.3880741317272,1,1,10
CV1 | nets=1 | frames=10,1,128,5,0.5203434079885483,387.1457330749035,1,1,10
CV1 | nets=1 | frames=10,1,128,6,0.5950285196304321,384.9879150310755,1,1,10
CV1 | nets=1 | frames=10,1,128,7,0.7955987304449081,379.9829423353672,1,1,10
CV1 | nets=1 | frames=10,1,128,8,0.4960509240627289,368.5606561045647,1,1,10
CV1 | nets=1 | frames=10,1,128,9,0.8124590367078781,360.67360273873805,1,1,10
CV1 | nets=1 | frames=10,1,128,10,0.5233401209115982,432.3777241892815,1,1,10
CV1 | nets=1 | frames=10,1,128,11,0.4430544674396515,879.1193673706055,1,1,10
CV1 | nets=1 | frames=10,1,128,12,0.5131434053182602,1448.1823909761906,1,1,10
CV1 | nets=1 | frames=10,1,128,13,0.4819713830947876,2243.563670897007,1,1,10
CV1 | nets=1 | frames=10,1,128,14,0.3182768933475017,1828.015900825381,1,1,10
CV1 | nets=1 | frames=10,1,128,15,0.3004350252449512,1736.4853720844983,1,1,10
CV1 | nets=1 | frames=10,1,128,16,0.2674030717462301,1252.4064292366504,1,1,10
CV1 | nets=1 | frames=10,1,128,17,0.2664718814194202,1279.1823241649863,1,1,10
CV1 | nets=1 | frames=10,1,128,18,0.4203295558691025,907.1878270484208,1,1,10
CV1 | nets=1 | frames=10,1,128,19,0.3342737406492233,997.4244083957672,1,1,10
CV1 | nets=1 | frames=10,1,128,20,0.4110525101423263,873.7973388420344,1,1,10
CV1 | nets=1 | frames=10,1,128,21,0.2885532230138778,998.769915919423,1,1,10
CV1 | nets=1 | frames=10,1,128,22,0.2869057655334472,1251.845422983408,1,1,10
CV1 | nets=1 | frames=10,1,128,23,0.209698311984539,1156.8416324682237,1,1,10
CV1 | nets=1 | frames=10,1,128,24,0.2468140125274658,1075.052325082302,1,1,10
CV1 | nets=1 | frames=25,1,128,1,0.9692180156707764,41.88229972936213,1,1,25
CV1 | nets=1 | frames=25,1,128,2,0.6534842103719711,40.47729306399823,1,1,25
CV1 | nets=1 | frames=25,1,128,3,0.5733683556318283,38.598538662433626,1,1,25
CV1 | nets=1 | frames=25,1,128,4,0.648932695388794,37.81779379570485,1,1,25
CV1 | nets=1 | frames=25,1,128,5,0.4640236161649227,42.80622013795376,1,1,25
CV1 | nets=1 | frames=25,1,128,6,0.4081918559968471,267.0419524559975,1,1,25
CV1 | nets=1 | frames=25,1,128,7,0.4673100914806127,49.46721236392855,1,1,25
CV1 | nets=1 | frames=25,1,128,8,0.43581761745736,42.39888207226991,1,1,25
CV1 | nets=1 | frames=25,1,128,9,0.37880964204669,70.07667378431559,1,1,25
CV1 | nets=1 | frames=25,1,128,10,0.4475738704204559,44.93524942931533,1,1,25
CV1 | nets=1 | frames=25,1,128,11,0.3306312682107091,50.34898250247538,1,1,25
CV1 | nets=1 | frames=25,1,128,12,0.3169003445655107,71.46122495341301,1,1,25
CV1 | nets=1 | frames=25,1,128,13,0.2956839744001627,68.36320729008317,1,1,25
CV1 | nets=1 | frames=25,1,128,14,0.3370159193873405,70.95572843880952,1,1,25
CV1 | nets=1 | frames=25,1,128,15,0.3354310765862465,63.4870581382066,1,1,25
CV1 | nets=1 | frames=25,1,128,16,0.2445334922522306,60.34141977775097,1,1,25
CV1 | nets=1 | frames=25,1,128,17,0.2376729389652609,60.95267609240115,1,1,25
CV1 | nets=1 | frames=25,1,128,18,0.2431801706552505,66.08233432905377,1,1,25
CV1 | nets=1 | frames=25,1,128,19,0.3536072261631489,48.43041682571173,1,1,25
CV1 | nets=1 | frames=50,1,128,1,0.8688743880816868,8.240545992791652,1,1,50
CV1 | nets=1 | frames=50,1,128,2,0.6056031393153327,7.820792700052261,1,1,50
CV1 | nets=1 | frames=50,1,128,3,0.5757782203810555,7.62975380218029,1,1,50
CV1 | nets=1 | frames=50,1,128,4,0.4895429313182831,7.832854127317667,1,1,50
CV1 | nets=1 | frames=50,1,128,5,0.4646888673305511,7.698073045700789,1,1,50
CV1 | nets=1 | frames=50,1,128,6,0.3349749573639461,8.428463075608015,1,1,50
CV1 | nets=1 | frames=50,1,128,7,0.2998424065964563,8.254953179083765,1,1,50
CV1 | nets=1 | frames=50,1,128,8,0.2468944644289357,8.417237994261086,1,1,50
CV1 | nets=1 | frames=50,1,128,9,0.3177322638886315,8.591608942307532,1,1,50
CV1 | nets=1 | frames=50,1,128,10,0.2330640767301832,8.144285474792122,1,1,50
CV1 | nets=1 | frames=50,1,128,11,0.2069355100393295,8.386753819271922,1,1,50
CV1 | nets=1 | frames=50,1,128,12,0.1798602284065314,8.350668592080474,1,1,50
CV1 | nets=1 | frames=50,1,128,13,0.1989908580269132,8.14514242682606,1,1,50
CV1 | nets=1 | frames=50,1,128,14,0.1592095398477145,8.314704288057984,1,1,50
CV1 | nets=1 | frames=50,1,128,15,0.1652195411069052,8.071958414122463,1,1,50
CV1 | nets=1 | frames=50,1,128,16,0.1486179291137627,8.049087827458978,1,1,50
CV1 | nets=1 | frames=50,1,128,17,0.132922989981515,7.896026052512228,1,1,50
CV1 | nets=1 | frames=50,1,128,18,0.12897418652262,7.954422435492277,1,1,50
CV1 | nets=1 | frames=100,1,128,1,0.7717192975374368,1.6529036216139794,1,1,100
CV1 | nets=1 | frames=100,1,128,2,0.5337719848522773,1.675401472687721,1,1,100
CV1 | nets=1 | frames=100,1,128,3,0.3400782518661939,1.6873875571787358,1,1,100
CV1 | nets=1 | frames=100,1,128,4,0.2371102709036607,1.690409422814846,1,1,100
CV1 | nets=1 | frames=100,1,128,5,0.2030850087220852,1.6700931437388062,1,1,100
CV1 | nets=1 | frames=100,1,128,6,0.1682823695815526,1.7188309866935014,1,1,100
CV1 | nets=1 | frames=100,1,128,7,0.1434279256142102,1.7225756366103888,1,1,100
CV1 | nets=1 | frames=100,1,128,8,0.1178252261418562,1.7470880844146013,1,1,100
CV1 | nets=1 | frames=100,1,128,9,0.1060824176439872,1.6749354350194334,1,1,100
CV1 | nets=1 | frames=100,1,128,10,0.0901357987179206,1.7605683736093345,1,1,100
CV1 | nets=1 | frames=100,1,128,11,0.0855078132679829,1.713599994827062,1,1,100
CV1 | nets=1 | frames=100,1,128,12,0.0689343949063466,1.6942419340126216,1,1,100
CV1 | nets=1 | frames=100,1,128,13,0.0623838712389652,1.708349722210318,1,1,100
CV1 | nets=1 | frames=100,1,128,14,0.0579514798636619,1.743951221331954,1,1,100
CV1 | nets=1 | frames=100,1,128,15,0.0567399743371284,1.7222823677435517,1,1,100
CV1 | nets=1 | frames=100,1,128,16,0.0453255667995948,1.6991114553511142,1,1,100
CV1 | nets=2 | frames=2,1,128,1,1.0126886367797852,6218.312676528931,1,2,2
CV1 | nets=2 | frames=2,1,128,2,0.9771773219108582,6217.64078843689,1,2,2
CV1 | nets=2 | frames=2,1,128,3,0.9425398707389832,6216.7862866745,1,2,2
CV1 | nets=2 | frames=2,1,128,4,0.905264973640442,6215.906047981262,1,2,2
CV1 | nets=2 | frames=2,1,128,5,0.862122654914856,6214.188041831971,1,2,2
CV1 | nets=2 | frames=2,1,128,6,0.8093795776367188,6207.250306297302,1,2,2
CV1 | nets=2 | frames=2,1,128,7,0.7424929141998291,6190.361200141907,1,2,2
CV1 | nets=2 | frames=2,1,128,8,0.6615718603134155,6154.100030319214,1,2,2
CV1 | nets=2 | frames=2,1,128,9,0.5970373749732971,6031.746534511566,1,2,2
CV1 | nets=2 | frames=2,1,128,10,0.5406692624092102,5854.980546035767,1,2,2
CV1 | nets=2 | frames=2,1,128,11,0.4763024747371673,10434.380969942093,1,2,2
CV1 | nets=2 | frames=2,1,128,12,0.4089118540287018,24765.7073999424,1,2,2
CV1 | nets=2 | frames=2,1,128,13,0.3440972566604614,51492.40473387909,1,2,2
CV1 | nets=2 | frames=2,1,128,14,0.3040358126163482,102633.91287046242,1,2,2
CV1 | nets=2 | frames=2,1,128,15,0.2742244005203247,193248.74226499177,1,2,2
CV1 | nets=2 | frames=2,1,128,16,0.2435032874345779,317233.3340741844,1,2,2
CV1 | nets=2 | frames=2,1,128,17,0.2121133357286453,448160.752265213,1,2,2
CV1 | nets=2 | frames=2,1,128,18,0.1823303252458572,585045.1886682281,1,2,2
CV1 | nets=2 | frames=2,1,128,19,0.1618968397378921,732802.5447052307,1,2,2
CV1 | nets=2 | frames=2,1,128,20,0.1473482400178909,763427.1060518723,1,2,2
CV1 | nets=2 | frames=2,1,128,21,0.1259194910526275,270588.9692128067,1,2,2
CV1 | nets=2 | frames=2,1,128,22,0.0995898023247718,43487.71361717224,1,2,2
CV1 | nets=2 | frames=2,1,128,23,0.0816258192062377,29459.95979219818,1,2,2
CV1 | nets=2 | frames=2,1,128,24,0.0730141103267669,71343.24973252868,1,2,2
CV1 | nets=2 | frames=2,1,128,25,0.0675667822360992,671224.8159243622,1,2,2
CV1 | nets=2 | frames=5,1,128,1,0.806211531162262,486.26197768783567,1,2,5
CV1 | nets=2 | frames=5,1,128,2,0.5699843456968665,485.4504860887528,1,2,5
CV1 | nets=2 | frames=5,1,128,3,1.2282671928405762,483.85976993846896,1,2,5
CV1 | nets=2 | frames=5,1,128,4,0.9893166720867156,477.72728037047386,1,2,5
CV1 | nets=2 | frames=5,1,128,5,0.5125681608915329,455.064368535757,1,2,5
CV1 | nets=2 | frames=5,1,128,6,0.6787534058094025,448.6602541987896,1,2,5
CV1 | nets=2 | frames=5,1,128,7,0.5898973941802979,466.9543784434795,1,2,5
CV1 | nets=2 | frames=5,1,128,8,0.3690878450870514,471.9184785957336,1,2,5
CV1 | nets=2 | frames=5,1,128,9,0.3703104555606842,469.8311297352314,1,2,5
CV1 | nets=2 | frames=5,1,128,10,0.6498365178704262,469.83753234124185,1,2,5
CV1 | nets=2 | frames=5,1,128,11,0.3690634369850158,508.3422499125004,1,2,5
CV1 | nets=2 | frames=5,1,128,12,0.2433960661292076,701.1301941643953,1,2,5
CV1 | nets=2 | frames=5,1,128,13,0.3751850947737694,544.3174247002602,1,2,5
CV1 | nets=2 | frames=5,1,128,14,0.169773232191801,439.948482757926,1,2,5
CV1 | nets=2 | frames=5,1,128,15,0.2015426456928253,446.23293123948577,1,2,5
CV1 | nets=2 | frames=5,1,128,16,0.1391784586012363,482.965521070242,1,2,5
CV1 | nets=2 | frames=5,1,128,17,0.2715385630726814,540.7326769163609,1,2,5
CV1 | nets=2 | frames=5,1,128,18,0.1913668848574161,553.9652117928266,1,2,5
CV1 | nets=2 | frames=5,1,128,19,0.1039746599271893,502.2985645819903,1,2,5
CV1 | nets=2 | frames=5,1,128,20,0.22701096534729,509.87503207218646,1,2,5
CV1 | nets=2 | frames=5,1,128,21,0.1327693345956504,562.4679196156263,1,2,5
CV1 | nets=2 | frames=5,1,128,22,0.2101751565933227,697.2446172767877,1,2,5
CV1 | nets=2 | frames=5,1,128,23,0.1687359809875488,693.1887261203527,1,2,5
CV1 | nets=2 | frames=5,1,128,24,0.3125934936106205,604.8065562539101,1,2,5
CV1 | nets=2 | frames=5,1,128,25,0.1883956417441368,488.7615010818243,1,2,5
CV1 | nets=2 | frames=5,1,128,26,0.1122379750013351,473.70643207764624,1,2,5
CV1 | nets=2 | frames=5,1,128,27,0.2891415134072304,480.5453360748291,1,2,5
CV1 | nets=2 | frames=5,1,128,28,0.1623063758015632,479.2370118035078,1,2,5
CV1 | nets=2 | frames=5,1,128,29,0.1077129170298576,474.5536165341138,1,2,5
CV1 | nets=2 | frames=10,1,128,1,0.9431891242663064,96.22873628467322,1,2,10
CV1 | nets=2 | frames=10,1,128,2,0.7828304370244344,94.808235008955,1,2,10
CV1 | nets=2 | frames=10,1,128,3,0.6302764614423116,85.62077557873725,1,2,10
CV1 | nets=2 | frames=10,1,128,4,0.5780941247940063,90.19616994422674,1,2,10
CV1 | nets=2 | frames=10,1,128,5,0.5104807416598002,94.49880708891152,1,2,10
CV1 | nets=2 | frames=10,1,128,6,0.4535570740699768,95.7016400976181,1,2,10
CV1 | nets=2 | frames=10,1,128,7,0.3641170114278793,95.72577027380468,1,2,10
CV1 | nets=2 | frames=10,1,128,8,0.3016279439131419,97.0858611394763,1,2,10
CV1 | nets=2 | frames=10,1,128,9,0.2936786512533824,90.08975883090496,1,2,10
CV1 | nets=2 | frames=10,1,128,10,0.2375119825204213,100.8700947137773,1,2,10
CV1 | nets=2 | frames=10,1,128,11,0.1867424100637436,152.00118423207104,1,2,10
CV1 | nets=2 | frames=10,1,128,12,0.1800238291422526,139.2737154698968,1,2,10
CV1 | nets=2 | frames=10,1,128,13,0.1929858376582463,173.3175709772259,1,2,10
CV1 | nets=2 | frames=10,1,128,14,0.2090984880924224,111.57689745029808,1,2,10
CV1 | nets=2 | frames=10,1,128,15,0.1675038586060206,89.86325924402476,1,2,10
CV1 | nets=2 | frames=10,1,128,16,0.1907317290703455,95.82906420896948,1,2,10
CV1 | nets=2 | frames=10,1,128,17,0.1926652664939562,95.5325732281655,1,2,10
CV1 | nets=2 | frames=10,1,128,18,0.1424245635668436,88.87630038821698,1,2,10
CV1 | nets=2 | frames=25,1,128,1,1.0152302724974496,12.419910813048482,1,2,25
CV1 | nets=2 | frames=25,1,128,2,0.6081951771463666,12.270120073258877,1,2,25
CV1 | nets=2 | frames=25,1,128,3,0.4519320854118892,12.379109971761704,1,2,25
CV1 | nets=2 | frames=25,1,128,4,0.2925511332494871,11.009555034726858,1,2,25
CV1 | nets=2 | frames=25,1,128,5,0.2331901884504727,16.46408566914499,1,2,25
CV1 | nets=2 | frames=25,1,128,6,0.2338372809546334,12.537526509925724,1,2,25
CV1 | nets=2 | frames=25,1,128,7,0.1817524156400135,11.975726795941592,1,2,25
CV1 | nets=2 | frames=25,1,128,8,0.2046833027686391,12.414941650435328,1,2,25
CV1 | nets=2 | frames=25,1,128,9,0.1971869000366755,11.16885005544126,1,2,25
CV1 | nets=2 | frames=25,1,128,10,0.1731616726943425,12.081657020512967,1,2,25
CV1 | nets=2 | frames=25,1,128,11,0.1564158914344651,11.56543275489658,1,2,25
CV1 | nets=2 | frames=25,1,128,12,0.178546385041305,10.915368644263596,1,2,25
CV1 | nets=2 | frames=25,1,128,13,0.1478202412171023,10.935805427223444,1,2,25
CV1 | nets=2 | frames=25,1,128,14,0.1358205931527274,10.633336022697389,1,2,25
CV1 | nets=2 | frames=25,1,128,15,0.1295640557738287,10.468608371973035,1,2,25
CV1 | nets=2 | frames=25,1,128,16,0.1417074991124016,10.474175134055317,1,2,25
CV1 | nets=2 | frames=25,1,128,17,0.1374301463365554,10.284999170303344,1,2,25
CV1 | nets=2 | frames=25,1,128,18,0.1304113417863845,10.488119222790004,1,2,25
CV1 | nets=2 | frames=25,1,128,19,0.1328428557940892,10.488277641750871,1,2,25
CV1 | nets=2 | frames=25,1,128,20,0.1330942937305995,10.593631788656117,1,2,25
CV1 | nets=2 | frames=25,1,128,21,0.1221170856484345,10.814297395221889,1,2,25
CV1 | nets=2 | frames=25,1,128,22,0.123074713562216,10.932692641191183,1,2,25
CV1 | nets=2 | frames=25,1,128,23,0.1488073542714119,10.937096551820636,1,2,25
CV1 | nets=2 | frames=25,1,128,24,0.1261732610208647,11.255067001231014,1,2,25
CV1 | nets=2 | frames=25,1,128,25,0.1140514372714928,11.37002064242214,1,2,25
CV1 | nets=2 | frames=25,1,128,26,0.1096257051186902,11.450059072948992,1,2,25
CV1 | nets=2 | frames=25,1,128,27,0.1090413347951003,11.42744127728045,1,2,25
CV1 | nets=2 | frames=25,1,128,28,0.1059165219111102,11.47656536589563,1,2,25
CV1 | nets=2 | frames=25,1,128,29,0.0967197455465793,11.506791685387492,1,2,25
CV1 | nets=2 | frames=25,1,128,30,0.1075201843466077,11.423140830025076,1,2,25
CV1 | nets=2 | frames=25,1,128,31,0.1109068755592618,11.324742053978143,1,2,25
CV1 | nets=2 | frames=25,1,128,32,0.1189354807138443,11.395104580584912,1,2,25
CV1 | nets=2 | frames=50,1,128,1,0.7516140250059274,2.6493699370026587,1,2,50
CV1 | nets=2 | frames=50,1,128,2,0.4453055274028044,2.869877594053745,1,2,50
CV1 | nets=2 | frames=50,1,128,3,0.2941120668099476,2.9969447670429945,1,2,50
CV1 | nets=2 | frames=50,1,128,4,0.2068752090518291,2.304728883095086,1,2,50
CV1 | nets=2 | frames=50,1,128,5,0.1779055956464547,2.3905416684001684,1,2,50
CV1 | nets=2 | frames=50,1,128,6,0.1626043087587906,2.304747096784413,1,2,50
CV1 | nets=2 | frames=50,1,128,7,0.1563831539108203,2.1412511629648505,1,2,50
CV1 | nets=2 | frames=50,1,128,8,0.1507101159256238,2.110754382878542,1,2,50
CV1 | nets=2 | frames=50,1,128,9,0.1431915817352441,2.0205780403614044,1,2,50
CV1 | nets=2 | frames=50,1,128,10,0.1245001133244771,1.9867545614764093,1,2,50
CV1 | nets=2 | frames=50,1,128,11,0.1082602279404034,2.0864681196138264,1,2,50
CV1 | nets=2 | frames=50,1,128,12,0.0967382731345983,2.036091150071472,1,2,50
CV1 | nets=2 | frames=50,1,128,13,0.0804215967655181,2.0423324459455907,1,2,50
CV1 | nets=2 | frames=50,1,128,14,0.0690628740793237,2.045812883742154,1,2,50
CV1 | nets=2 | frames=50,1,128,15,0.0647596027702093,2.0052971863225104,1,2,50
CV1 | nets=2 | frames=50,1,128,16,0.0586267175296178,1.9942819445990023,1,2,50
CV1 | nets=2 | frames=50,1,128,17,0.0571627536645302,2.039089257668704,1,2,50
CV1 | nets=2 | frames=50,1,128,18,0.05128425739419,2.0741017463952303,1,2,50
CV1 | nets=2 | frames=50,1,128,19,0.0539266782311292,2.0296616860628127,1,2,50
CV1 | nets=2 | frames=50,1,128,20,0.0565676297992467,2.085225394818932,1,2,50
CV1 | nets=2 | frames=50,1,128,21,0.0647703128365369,2.0168515698984266,1,2,50
CV1 | nets=2 | frames=50,1,128,22,0.070732237627873,2.006110279913992,1,2,50
CV1 | nets=2 | frames=50,1,128,23,0.0732680418743537,2.0178240675255656,1,2,50
CV1 | nets=2 | frames=50,1,128,24,0.04543931552997,2.0068773876577617,1,2,50
CV1 | nets=2 | frames=50,1,128,25,0.0442490998942118,2.0062969352155924,1,2,50
CV1 | nets=2 | frames=100,1,128,1,0.5542598176002502,0.5989606676399708,1,2,100
CV1 | nets=2 | frames=100,1,128,2,0.2571456155180931,0.46193592043221,1,2,100
CV1 | nets=2 | frames=100,1,128,3,0.1947692483663559,0.459686554133892,1,2,100
CV1 | nets=2 | frames=100,1,128,4,0.1643294535577297,0.4780159727036953,1,2,100
CV1 | nets=2 | frames=100,1,128,5,0.1407001596689224,0.5969170119464398,1,2,100
CV1 | nets=2 | frames=100,1,128,6,0.1105452638864517,0.5815758500397206,1,2,100
CV1 | nets=2 | frames=100,1,128,7,0.0992779782414436,0.6113003696501255,1,2,100
CV1 | nets=2 | frames=100,1,128,8,0.0752204084396362,0.610936589103192,1,2,100
CV1 | nets=2 | frames=100,1,128,9,0.0708310012519359,0.5903585201576352,1,2,100
CV1 | nets=2 | frames=100,1,128,10,0.0653180074691772,0.6445966693870723,1,2,100
CV1 | nets=2 | frames=100,1,128,11,0.0614502378553152,0.6326397318374366,1,2,100
CV1 | nets=2 | frames=100,1,128,12,0.0575192534178495,0.6302419903203845,1,2,100
CV1 | nets=2 | frames=100,1,128,13,0.0439952114224433,0.6557577987350524,1,2,100
CV1 | nets=2 | frames=100,1,128,14,0.037071603834629,0.6832009684033692,1,2,100
CV1 | nets=2 | frames=100,1,128,15,0.0416510554403066,0.6724615901522338,1,2,100
CV1 | nets=2 | frames=100,1,128,16,0.0329058435559272,0.6874309860654175,1,2,100
CV1 | nets=2 | frames=100,1,128,17,0.039527468830347,0.6188550287857651,1,2,100
CV1 | nets=2 | frames=100,1,128,18,0.033083731457591,0.6710263540763408,1,2,100
CV1 | nets=4 | frames=2,1,128,1,1.0030289888381958,8208.819348098756,1,4,2
CV1 | nets=4 | frames=2,1,128,2,0.969630002975464,8207.774442008973,1,4,2
CV1 | nets=4 | frames=2,1,128,3,0.936205267906189,8205.419641189575,1,4,2
CV1 | nets=4 | frames=2,1,128,4,0.8996105194091797,8196.178968887329,1,4,2
CV1 | nets=4 | frames=2,1,128,5,0.8568373918533325,8177.723599853515,1,4,2
CV1 | nets=4 | frames=2,1,128,6,0.8044474124908447,8159.079520294189,1,4,2
CV1 | nets=4 | frames=2,1,128,7,0.7376790046691895,8202.271860595703,1,4,2
CV1 | nets=4 | frames=2,1,128,8,0.651006281375885,8765.858277305602,1,4,2
CV1 | nets=4 | frames=2,1,128,9,0.5568345189094543,11534.059437541962,1,4,2
CV1 | nets=4 | frames=2,1,128,10,0.5344170331954956,14899.236892749786,1,4,2
CV1 | nets=4 | frames=2,1,128,11,0.4873064458370209,19559.33063310623,1,4,2
CV1 | nets=4 | frames=2,1,128,12,0.4353516399860382,25434.667709985733,1,4,2
CV1 | nets=4 | frames=2,1,128,13,0.3771892786026001,34632.097824611665,1,4,2
CV1 | nets=4 | frames=2,1,128,14,0.3310395777225494,53944.960467281344,1,4,2
CV1 | nets=4 | frames=2,1,128,15,0.2961291074752807,93953.73286043169,1,4,2
CV1 | nets=4 | frames=2,1,128,16,0.2536092400550842,178068.0108704834,1,4,2
CV1 | nets=4 | frames=2,1,128,17,0.2167808264493942,306711.0130154724,1,4,2
CV1 | nets=4 | frames=2,1,128,18,0.2152340859174728,397940.3745864869,1,4,2
CV1 | nets=4 | frames=2,1,128,19,0.1904520243406295,446149.3047907944,1,4,2
CV1 | nets=4 | frames=2,1,128,20,0.1714370101690292,558035.5215207901,1,4,2
CV1 | nets=4 | frames=2,1,128,21,0.1544857770204544,784553.1007004699,1,4,2
CV1 | nets=4 | frames=5,1,128,1,0.9618752400080364,708.4586163487435,1,4,5
CV1 | nets=4 | frames=5,1,128,2,0.8257073958714803,697.9153062729836,1,4,5
CV1 | nets=4 | frames=5,1,128,3,0.617722084124883,686.2736152756214,1,4,5
CV1 | nets=4 | frames=5,1,128,4,0.5159246226151785,941.6661040372848,1,4,5
CV1 | nets=4 | frames=5,1,128,5,0.5110857834418615,2637.8403761764766,1,4,5
CV1 | nets=4 | frames=5,1,128,6,0.4373644193013509,5885.396516854286,1,4,5
CV1 | nets=4 | frames=5,1,128,7,0.3834708233674367,6952.775989449978,1,4,5
CV1 | nets=4 | frames=5,1,128,8,0.3569898655017217,13705.544810006855,1,4,5
CV1 | nets=4 | frames=5,1,128,9,0.3489522238572438,6507.538478830099,1,4,5
CV1 | nets=4 | frames=5,1,128,10,0.3628309617439906,1029.4939156773091,1,4,5
CV1 | nets=4 | frames=5,1,128,11,0.3833248168230057,603.1969966868162,1,4,5
CV1 | nets=4 | frames=5,1,128,12,0.2928816725810368,649.7052325121165,1,4,5
CV1 | nets=4 | frames=5,1,128,13,0.3060402572154999,660.8190476416349,1,4,5
CV1 | nets=4 | frames=5,1,128,14,0.2641009291013081,650.6577360976935,1,4,5
CV1 | nets=4 | frames=5,1,128,15,0.2826342930396398,646.7180045367479,1,4,5
