dataset,split,sim_idx,final_p_ratio,original_sim_idx,raw_final_p_ratio,abs_final_p_ratio_diff,raw_frames
dePablo CV2,test,30,-0.3386047566176201,81,-0.3386047566176201,0.0,163
dePablo CV2,test,31,0.1672963915372404,9,0.1672963915372404,0.0,113
dePablo CV2,test,32,-0.0812478255827438,11,-0.08124782558274382,2.7755575615628914e-17,113
dePablo CV2,test,33,-0.4439431886118696,34,-0.44394318861186965,5.551115123125783e-17,166
dePablo CV2,test,34,0.3629131029241631,48,0.3629131029241631,0.0,158
dePablo CV2,test,35,0.3422335352892565,45,0.34223353528925654,5.551115123125783e-17,121
dePablo CV2,test,36,-0.3779189657995969,94,-0.37791896579959694,5.551115123125783e-17,158
dePablo CV2,test,37,0.3541335764499747,38,0.35413357644997473,5.551115123125783e-17,151
dePablo CV2,test,38,-0.2026014905337221,1,-0.20260149053372217,8.326672684688674e-17,115
dePablo CV2,test,39,-0.4103403225186684,42,-0.4103403225186684,0.0,164
dePablo CV2,test,40,0.1580742131340375,58,0.15807421313403752,2.7755575615628914e-17,183
dePablo CV2,test,41,0.1984530464851873,51,0.1984530464851873,0.0,180
dePablo CV2,test,42,-0.1806314739996638,70,-0.1806314739996638,0.0,183
dePablo CV2,test,43,-0.0249099652893926,57,-0.02490996528939263,3.122502256758253e-17,123
dePablo CV2,test,44,-0.1496032734170133,35,-0.1496032734170133,0.0,170
dePablo CV2,test,45,-0.1005514179318246,44,-0.10055141793182469,9.71445146547012e-17,146
dePablo CV2,test,46,-0.1613288408896635,20,-0.1613288408896635,0.0,158
dePablo CV2,test,47,0.2050441664335105,55,0.20504416643351053,2.7755575615628914e-17,178
dePablo CV2,test,48,-0.4558432561012651,3,-0.45584325610126514,5.551115123125783e-17,158
dePablo CV2,test,49,-0.0673570510233767,87,-0.06735705102337672,1.3877787807814457e-17,115
dePablo CV2,test,50,0.1059858093500111,13,0.10598580935001119,8.326672684688674e-17,170
dePablo CV2,test,51,0.0411747759483444,99,0.04117477594834443,2.7755575615628914e-17,169
dePablo CV2,test,52,0.0793531539701399,85,0.07935315397013996,6.938893903907228e-17,158
dePablo CV2,test,53,0.1278935707687713,4,0.1278935707687713,0.0,157
dePablo CV2,test,54,-0.3100257281336626,74,-0.31002572813366264,5.551115123125783e-17,159
dePablo CV2,test,55,0.037337759212293,52,0.037337759212293,0.0,138
dePablo CV2,test,56,0.3480696477983587,23,0.3480696477983587,0.0,164
dePablo CV2,test,57,-0.3942740135525513,7,-0.3942740135525513,0.0,149
dePablo CV2,test,58,0.3407780379320012,75,0.34077803793200123,5.551115123125783e-17,141
dePablo CV2,test,59,0.1557504796115596,25,0.15575047961155963,2.7755575615628914e-17,146
dePablo CV2,test,60,-0.4204057219757763,62,-0.4204057219757763,0.0,169
dePablo CV2,test,61,0.1881998080526484,91,0.1881998080526484,0.0,151
dePablo CV2,test,62,0.3487693642166894,54,0.34876936421668947,5.551115123125783e-17,158
dePablo CV2,test,63,-0.5381298285827363,66,-0.5381298285827363,0.0,123
dePablo CV2,test,64,-0.2391919054270432,40,-0.23919190542704324,5.551115123125783e-17,123
dePablo CV2,test,65,-0.0600070150824272,63,-0.06000701508242722,2.0816681711721685e-17,161
dePablo CV2,test,66,-0.4425836976874488,24,-0.4425836976874488,0.0,115
dePablo CV2,test,67,-0.5734598575106268,61,-0.5734598575106268,0.0,111
dePablo CV2,test,68,-0.481852099538911,92,-0.481852099538911,0.0,154
dePablo CV2,test,69,-0.4669767574585872,73,-0.4669767574585872,0.0,147
